"Leveringssektor";"måned";"statistikkvariabel";"11117: Konsumprisindeks for varer og tjenester, etter Leveringssektor, måned og statistikkvariabel"
"B1 Varer";"2015M01";"Konsumprisindeksen (2015=100)";98,2
"B1 Varer";"2015M01";"Månedsendring (prosent)";..
"B1 Varer";"2015M01";"12-måneders endring (prosent)";..
"B1 Varer";"2015M01";"Konsumprisindeksen. Vekter";504,3
"B1 Varer";"2015M02";"Konsumprisindeksen (2015=100)";98,9
"B1 Varer";"2015M02";"Månedsendring (prosent)";0,7
"B1 Varer";"2015M02";"12-måneders endring (prosent)";..
"B1 Varer";"2015M02";"Konsumprisindeksen. Vekter";504,3
"B1 Varer";"2015M03";"Konsumprisindeksen (2015=100)";99,3
"B1 Varer";"2015M03";"Månedsendring (prosent)";0,4
"B1 Varer";"2015M03";"12-måneders endring (prosent)";..
"B1 Varer";"2015M03";"Konsumprisindeksen. Vekter";504,3
"B1 Varer";"2015M04";"Konsumprisindeksen (2015=100)";99,8
"B1 Varer";"2015M04";"Månedsendring (prosent)";0,5
"B1 Varer";"2015M04";"12-måneders endring (prosent)";..
"B1 Varer";"2015M04";"Konsumprisindeksen. Vekter";504,3
"B1 Varer";"2015M05";"Konsumprisindeksen (2015=100)";99,8
"B1 Varer";"2015M05";"Månedsendring (prosent)";0
"B1 Varer";"2015M05";"12-måneders endring (prosent)";..
"B1 Varer";"2015M05";"Konsumprisindeksen. Vekter";504,3
"B1 Varer";"2015M06";"Konsumprisindeksen (2015=100)";99,9
"B1 Varer";"2015M06";"Månedsendring (prosent)";0,1
"B1 Varer";"2015M06";"12-måneders endring (prosent)";..
"B1 Varer";"2015M06";"Konsumprisindeksen. Vekter";504,3
"B1 Varer";"2015M07";"Konsumprisindeksen (2015=100)";99,8
"B1 Varer";"2015M07";"Månedsendring (prosent)";-0,1
"B1 Varer";"2015M07";"12-måneders endring (prosent)";..
"B1 Varer";"2015M07";"Konsumprisindeksen. Vekter";504,3
"B1 Varer";"2015M08";"Konsumprisindeksen (2015=100)";99,5
"B1 Varer";"2015M08";"Månedsendring (prosent)";-0,3
"B1 Varer";"2015M08";"12-måneders endring (prosent)";..
"B1 Varer";"2015M08";"Konsumprisindeksen. Vekter";504,3
"B1 Varer";"2015M09";"Konsumprisindeksen (2015=100)";100,6
"B1 Varer";"2015M09";"Månedsendring (prosent)";1,1
"B1 Varer";"2015M09";"12-måneders endring (prosent)";..
"B1 Varer";"2015M09";"Konsumprisindeksen. Vekter";504,3
"B1 Varer";"2015M10";"Konsumprisindeksen (2015=100)";101,1
"B1 Varer";"2015M10";"Månedsendring (prosent)";0,5
"B1 Varer";"2015M10";"12-måneders endring (prosent)";..
"B1 Varer";"2015M10";"Konsumprisindeksen. Vekter";504,3
"B1 Varer";"2015M11";"Konsumprisindeksen (2015=100)";102
"B1 Varer";"2015M11";"Månedsendring (prosent)";0,9
"B1 Varer";"2015M11";"12-måneders endring (prosent)";..
"B1 Varer";"2015M11";"Konsumprisindeksen. Vekter";504,3
"B1 Varer";"2015M12";"Konsumprisindeksen (2015=100)";101,1
"B1 Varer";"2015M12";"Månedsendring (prosent)";-0,9
"B1 Varer";"2015M12";"12-måneders endring (prosent)";..
